iter	MAE	RMSE
196	528038.3387	682965.7782
197	526555.7247	681282.581
198	525162.4873	679686.6594
199	523798.3929	678116.7263
200	522345.9151	676486.5813
201	520895.9034	674766.5975
202	519419.8268	673103.0731
203	517890.075	671390.4609
204	516510.9923	669712.7552
205	515170.3708	668168.9455
206	513821.2807	666604.2227
207	512496.0837	665099.28
208	511117.9495	663504.7324
209	509720.8525	661902.1794
210	508279.5488	660248.7376
211	506996.4207	658742.7012
212	505673.8083	657226.8408
213	504320.9189	655690.8728
214	502948.1426	654171.1245
215	501671.3946	652689.4715
216	500294.2235	651116.7944
217	498950.8272	649636.5231
218	497645.1631	648078.3426
219	496378.8099	646597.9288
220	495140.2569	645147.8529
221	493830.9138	643642.825
222	492614.7678	642243.463
223	491310.3731	640772.5185
224	490037.0059	639315.6291
225	488754.5078	637872.3387
226	487486.0508	636376.7852
227	486290.7744	634966.5609
228	485113.7592	633620.5532
229	483845.1133	632141.7781
230	482537.8903	630683.0673
231	481334.5803	629239.6349
232	480140.8412	627845.9399
233	479016.1707	626534.808
234	477756.3748	625050.0405
235	476551.687	623684.4143
236	475305.6025	622218.1988
237	474061.5262	620781.855
238	472908.5882	619408.7097
239	471790.8382	618123.6088
240	470546.914	616691.4169
241	469351.0232	615294.8555
242	468153.0702	613875.0517
243	467011.2663	612522.0644
244	465856.6019	611192.3356
245	464752.2809	609899.7889
246	463638.7017	608683.6691
247	462517.3867	607405.9835
248	461416.4843	606106.7634
249	460194.6705	604731.7888
250	458977.8308	603323.4577
251	457966.4476	602135.3275
252	456888.8532	600844.1469
253	455720.0976	599437.6363
254	454606.5172	598103.1406
255	453557.7095	596876.3928
256	452493.7843	595600.6183
257	451367.6479	594315.4394
258	450291.7941	593063.1308
259	449215.4737	591778.2077
260	448131.7774	590550.1111
261	447126.9342	589366.9575
262	446128.6813	588237.9964
263	445040.2561	587000.7878
264	443976.8215	585771.5783
265	442907.6502	584534.6024
266	441870.8652	583294.565
267	440821.6218	582049.2002
268	439772.4619	580796.2512
269	438706.5415	579524.8857
270	437680.1361	578323.0876
271	436693.1385	577188.9346
272	435721.2375	576046.2137
273	434769.9865	574917.7537
274	433764.4519	573741.3091
275	432790.098	572568.9586
276	431769.8086	571348.8665
277	430835.1858	570285.2645
278	429920.1674	569236.6739
279	428913.6678	568088.7555
280	427993.5634	567026.2393
281	427042.797	565915.2078
282	426087.8596	564759.5298
283	425217.3383	563748.4228
284	424305.3159	562652.7699
285	423427.7005	561636.73
286	422501.5855	560528.7896
287	421537.8108	559438.3099
288	420668.2572	558414.5568
289	419727.4398	557305.7611
290	418819.0229	556169.7212
291	417914.076	555110.8638
292	416994.7334	554040.2699
293	416069.6835	552963.5683
294	415111.6563	551836.0996
295	414204.8252	550781.6042
296	413329.4166	549745.7573
297	412529.7854	548761.7388
298	411603.2356	547688.0581
299	410738.2598	546639.872
300	409903.6653	545618.34
301	409083.6185	544690.9603
302	408153.6827	543604.5085
303	407318.9681	542627.8634
304	406487.9147	541611.244
305	405680.7066	540663.0104
306	404850.5734	539697.9749
307	403962.9486	538659.5442
308	403109.009	537633.301
309	402312.605	536673.3711
310	401508.267	535702.6003
311	400769.9601	534831.2296
312	399991.4272	533892.4279
313	399176.0418	532935.1293
314	398381.2531	532000.792
315	397669.4205	531156.873
316	396877.2061	530239.3967
317	396063.2114	529215.7855
318	395291.6936	528273.9603
319	394562.1027	527401.6667
320	393835.1683	526482.9879
321	393027.5645	525531.3265
322	392298.0668	524651.8363
323	391481.6574	523675.7049
324	390735.8301	522782.8597
325	390057.0207	521929.3328
326	389307.9856	520968.744
327	388483.2594	519997.3074
328	387734.5587	519120.8531
329	387078.4328	518321.3351
330	386324.655	517434.605
331	385613.7736	516556.4096
332	384946.2663	515750.4185
333	384216.9392	514875.0868
334	383486.3097	513992.7139
335	382739.363	513091.4266
336	382104.3483	512305.7783
337	381334.526	511406.2213
338	380612.1896	510584.8811
339	379897.3895	509754.6193
340	379201.5859	508936.0632
341	378517.2874	508123.1449
342	377830.4001	507290.0192
343	377203.3028	506491.0269
344	376464.4774	505621.8729
345	375729.4375	504764.0821
346	375008.566	503926.6145
347	374289.003	503069.5213
348	373654.1362	502304.4767
349	372991.1202	501497.0817
350	372421.8137	500770.6147
351	371737.1191	499943.9945
352	371105.1074	499163.2611
353	370424.9743	498319.3641
354	369819.85	497526.7185
355	369237.4165	496785.0507
356	368605.7927	495976.1479
357	368065.5489	495301.6517
358	367389.9641	494523.3393
359	366804.149	493807.9621
360	366121.3787	493010.4808
361	365490.6693	492240.7836
362	364860.4186	491476.8205
363	364250.1414	490743.4703
364	363669.2146	490027.8804
365	363037.9309	489277.617
366	362460.6439	488590.3886
367	361812.2473	487814.17
368	361194.3771	487036.9757
369	360576.768	486286.6159
370	359930.4446	485525.8947
371	359372.9445	484862.0256
372	358792.7365	484171.801
373	358220.4642	483462.5851
374	357568.027	482695.0026
375	356966.2625	481969.1886
376	356397.8375	481292.7394
377	355840.1321	480591.5317
378	355232.7864	479857.3551
379	354617.7257	479131.5372
380	354069.1046	478479.217
381	353542.4214	477867.065
382	352941.7829	477137.287
383	352420.9855	476501.9837
384	351867.1959	475833.5102
385	351296.975	475147.5239
386	350754.9195	474458.0826
387	350168.1141	473767.9958
388	349635.9101	473130.7714
389	349075.318	472463.7638
390	348541.5821	471806.3137
391	348029.35	471214.0297
392	347516.6277	470577.4287
393	346956.7568	469922.0852
394	346449.7735	469303.4572
395	345900.9385	468645.1735
396	345363.5674	468013.5029
397	344862.3044	467365.9755
398	344360.4687	466753.0576
399	343885.6435	466136.1153
400	343376.8773	465522.6462
401	342849.8993	464883.3514
402	342392.1585	464302.5446
403	341950.946	463758.4395
404	341503.1784	463193.0863
405	340972.8063	462545.2671
406	340495.6068	461957.6991
407	340057.6285	461419.0957
408	339523.9846	460775.7764
409	339006.6651	460179.1797
410	338482.7133	459542.1143
411	338048.001	459017.3347
412	337583.8551	458444.9964
413	337081.1177	457838.4229
414	336584.275	457226.3494
415	336107.0245	456654.2099
416	335608.7847	456071.8887
417	335125.1178	455447.9205
418	334682.7462	454906.7262
419	334244.0433	454364.6428
420	333727.479	453765.651
421	333238.487	453182.213
422	332744.0087	452606.3055
423	332230.8879	451996.1589
424	331761.6561	451416.7918
425	331252.4552	450795.3321
426	330814.7028	450251.211
427	330364.194	449719.5231
428	329897.0968	449154.3341
429	329418.9241	448576.2958
430	328979.1237	448047.968
431	328525.2358	447500.7992
432	328112.1908	446980.5721
433	327668.4645	446437.0934
434	327230.0259	445913.1385
435	326830.1715	445422.2703
436	326373.9975	444890.9675
437	325969.0395	444407.97
438	325506.6279	443838.0155
439	325106.4621	443337.6626
440	324635.9788	442774.8902
441	324219.6311	442274.6969
442	323823.6709	441793.9118
443	323435.9962	441312.5291
444	322976.5835	440769.6344
445	322617.0741	440313.8952
446	322175.2098	439784.9446
447	321734.5171	439254.7969
448	321369.9266	438814.5386
449	320968.8213	438323.1499
450	320555.4769	437806.4167
451	320170.8373	437348.9043
452	319802.4894	436892.6399
453	319448.3229	436423.4272
454	319057.4291	435921.1528
455	318662.669	435439.6682
456	318293.1987	434969.963
457	317909.2759	434476.0651
458	317509.5083	433995.0015
459	317110.9739	433517.5018
460	316734.2383	433022.2997
461	316323.11	432513.0986
462	315919.2341	432041.7262
463	315535.8408	431590.2975
464	315192.9992	431156.7574
465	314815.4141	430702.3275
466	314394.7207	430194.8487
467	314059.0902	429800.1029
468	313658.0028	429283.3536
469	313278.7977	428829.9175
470	312862.9801	428343.3064
471	312497.9849	427892.6462
472	312165.0965	427482.1601
473	311773.9131	427026.0734
474	311393.0853	426536.6416
475	311091.7089	426160.4085
476	310725.0393	425733.5
477	310378.4037	425309.7212
478	310037.925	424895.8594
479	309703.4674	424501.3127
480	309346.6689	424076.3897
481	308963.804	423619.2832
482	308578.0358	423154.2473
483	308230.6619	422723.001
484	307900.1752	422300.156
485	307580.2932	421900.4202
486	307275.7951	421519.8699
487	306961.4443	421144.1374
488	306633.8642	420737.7849
489	306298.2027	420315.6578
490	305971.487	419916.9714
491	305629.9677	419521.1096
492	305309.2996	419143.5428
493	304991.8642	418747.4747
494	304666.2983	418347.4388
495	304308.5597	417902.5793
496	303988.0532	417503.7174
497	303700.0917	417166.1143
498	303359.0723	416719.4434
499	303070.8807	416357.6041
500	302759.5644	415980.9128
501	302449.9929	415602.9903
502	302106.9335	415195.8881
503	301794.7626	414806.106
504	301524.7695	414449.0021
505	301260.5319	414125.5522
506	300938.0078	413713.8607
507	300637.6555	413330.8936
508	300288.4053	412888.2647
509	300011.7245	412549.5327
510	299757.6781	412243.162
511	299451.3542	411873.1464
512	299186.7608	411511.9511
513	298922.1354	411182.4816
514	298633.478	410830.1849
515	298389.1528	410508.438
516	298108.1555	410139.222
517	297778.3858	409738.2187
518	297476.0551	409357.2739
519	297171.3788	408990.3854
520	296866.7329	408610.8803
521	296621.3264	408302.2486
522	296351.0339	407949.8072
523	296077.1721	407590.4103
524	295850.3512	407297.3893
525	295561.7669	406926.7661
526	295303.1348	406567.2097
527	295041.0045	406237.3818
528	294754.8172	405883.1287
529	294494.48	405564.1562
530	294216.7342	405219.7268
531	293958.7257	404878.2816
532	293720.922	404557.3145
533	293449.4101	404190.4059
534	293180.4946	403839.1468
535	292907.1643	403502.5089
536	292633.1447	403162.334
537	292363.3999	402829.4096
538	292133.0055	402530.6488
539	291885.9185	402213.0088
540	291655.2482	401929.7825
541	291374.1875	401602.4561
542	291147.6021	401296.5276
543	290905.7107	401001.9657
544	290646.5587	400647.9815
545	290418.0636	400333.6013
546	290203.9946	400053.9421
547	289945.9114	399720.0658
548	289688.1167	399382.023
549	289433.3721	399053.2637
550	289221.5583	398780.6993
551	289006.8424	398505.5053
552	288785.2207	398207.5751
553	288548.137	397896.9505
554	288308.9369	397592.7658
555	288055.3935	397281.4417
556	287832.9914	396977.2326
557	287562.7785	396658.8706
558	287363.1567	396406.3381
559	287087.377	396064.9937
560	286830.2758	395739.2354
561	286607.7199	395473.8179
562	286334.4907	395142.1892
563	286133.178	394883.1729
564	285899.9438	394615.2471
565	285687.8702	394345.583
566	285493.6399	394094.8342
567	285292.1687	393830.2419
568	285059.618	393533.9346
569	284837.8312	393250.8957
570	284588.0863	392937.3816
571	284369.7079	392635.0504
572	284187.25	392381.3469
573	283936.1402	392060.3075
574	283762.2386	391831.6162
575	283546.6184	391560.178
576	283306.789	391265.9437
577	283115.314	391035.8204
578	282919.1916	390791.9982
579	282682.4246	390518.8052
580	282453.0389	390236.6689
581	282239.0472	389968.0862
582	282013.4369	389688.077
583	281814.3376	389432.8224
584	281610.3427	389192.8784
585	281353.3627	388876.8478
586	281145.7439	388601.2426
587	280910.1494	388310.9729
588	280714.3945	388051.4431
589	280533.0754	387833.6991
590	280306.3168	387558.1384
591	280071.4538	387264.7662
592	279844.9211	386989.1485
593	279600.8394	386693.7785
594	279364.4709	386399.0003
595	279151.615	386135.5469
596	278896.6928	385827.7649
597	278693.0742	385563.6043
598	278477.2609	385302.0574
599	278241.7028	385018.7451
600	278067.4634	384774.291
601	277877.6187	384530.4884
602	277700.1249	384292.3916
603	277456.2376	383993.2128
604	277264.8643	383732.7792
605	277022.4725	383438.0785
606	276816.631	383160.0844
607	276589.1814	382864.7156
608	276411.9087	382639.4626
609	276215.2841	382388.4791
610	276009.7652	382134.301
611	275787.3196	381847.3106
612	275601.9626	381604.48
613	275439.9435	381372.5954
614	275246.1724	381125.7928
615	275063.5127	380892.858
616	274863.786	380634.5058
617	274659.2511	380382.3438
618	274474.7877	380120.8335
619	274283.3542	379863.2578
620	274105.9957	379630.9519
621	273935.5512	379410.0404
622	273734.2908	379160.7795
623	273534.5975	378903.7777
624	273367.5399	378681.082
625	273189.0511	378445.5751
626	272993.2253	378196.1639
627	272796.5446	377956.7374
628	272620.6069	377733.6317
629	272428.6405	377492.9682
630	272260.7125	377258.7648
631	272063.5695	376999.3873
632	271889.5455	376743.103
633	271728.2733	376527.3403
634	271570.5668	376307.5716
635	271396.402	376093.4691
636	271242.5722	375875.6438
637	271064.7957	375633.7814
638	270887.1467	375430.3782
639	270694.1338	375179.5944
640	270531.3364	374975.5631
641	270394.602	374792.9327
642	270218.8709	374545.532
643	270065.4535	374351.7818
644	269889.5339	374112.5188
645	269722.683	373912.662
646	269545.7872	373693.564
647	269404.0178	373502.4687
648	269224.4633	373266.1308
649	269079.0094	373053.065
650	268950.9734	372875.5766
651	268782.6549	372662.0636
652	268626.17	372455.4109
653	268466.2856	372257.1216
654	268318.0186	372068.3648
655	268161.127	371858.549
656	267998.8482	371649.4146
657	267859.8709	371458.541
658	267725.3768	371263.9091
659	267554.7693	371024.1813
660	267412.313	370835.7129
661	267257.606	370635.9297
662	267087.9512	370416.4981
663	266924.3789	370205.0632
664	266745.4316	369975.5211
665	266599.5078	369769.3459
666	266410.2064	369526.0079
667	266265.6699	369327.0598
668	266107.7397	369103.1083
669	265945.3138	368888.0404
670	265801.803	368702.8393
671	265648.8251	368496.9161
672	265490.7679	368306.8082
673	265346.3926	368113.3583
674	265163.6042	367877.2869
675	264996.937	367668.2543
676	264867.1995	367496.3132
677	264697.0509	367268.1407
678	264532.7306	367052.2577
679	264395.9655	366863.1352
680	264239.204	366648.329
681	264094.1931	366459.8954
682	263963.0077	366283.1427
683	263818.0822	366081.2793
684	263695.5965	365904.3477
685	263564.0769	365733.7234
686	263437.6016	365556.1303
687	263301.9382	365370.1506
688	263175.4538	365209.4807
689	263019.6982	365002.6191
690	262870.7369	364806.0847
691	262695.3682	364588.5529
692	262543.8931	364398.7272
693	262373.0321	364198.8412
694	262252.8017	364037.4062
695	262108.5319	363850.4478
696	262002.6771	363682.6929
697	261849.6656	363487.2339
698	261715.8886	363301.2231
699	261578.9497	363118.2545
700	261455.1337	362938.9364
701	261325.2744	362770.4224
702	261188.2049	362585.721
703	261082.1336	362424.5113
704	260948.0812	362249.8265
705	260857.1305	362114.9198
706	260712.1291	361905.6502
707	260593.0873	361749.2128
708	260465.481	361576.0344
709	260343.5813	361402.9255
710	260193.8713	361226.6176
711	260068.8426	361053.7291
712	259943.8087	360898.3638
713	259806.5645	360718.1778
714	259674.8463	360537.3491
715	259547.1814	360355.3742
716	259430.4666	360195.6527
717	259271.8932	360002.6174
718	259129.4941	359812.5734
719	259008.7469	359638.7861
720	258890.7304	359475.8224
721	258773.7327	359322.3551
722	258672.6571	359160.0926
723	258571.6751	359002.771
724	258428.4215	358831.927
725	258331.4912	358699.4167
726	258220.3608	358522.2723
727	258100.9656	358370.0193
728	257974.7799	358199.0524
729	257839.3095	358043.504
730	257759.7008	357928.7734
731	257646.9076	357767.1512
732	257532.1666	357613.9356
733	257426.7301	357457.0322
734	257271.4284	357266.4142
735	257149.8189	357094.3284
736	257044.1467	356960.4983
737	256947.4318	356798.9883
738	256860.6044	356678.0688
739	256755.3124	356544.339
740	256655.4131	356401.823
741	256560.9067	356264.1225
742	256424.6398	356089.5126
743	256304.5978	355938.3172
744	256175.1237	355780.9441
745	256059.4923	355633.3459
746	255958.3468	355489.5517
747	255834.8784	355332.9929
748	255731.5166	355188.554
749	255614.6425	355041.9309
750	255468.6733	354854.4709
751	255364.4742	354718.1322
752	255261.6298	354577.6882
753	255147.8586	354437.5077
754	255038.3983	354273.3171
755	254921.3912	354113.3292
756	254831.8885	353982.2739
757	254738.7443	353862.3217
758	254627.2209	353713.3698
759	254539.5009	353575.5421
760	254454.3315	353447.7255
761	254366.4193	353326.5953
762	254254.4704	353173.6912
763	254151.758	353027.0553
764	254044.4334	352880.1456
765	253924.032	352720.1551
766	253802.3308	352538.3025
767	253698.4435	352405.1805
768	253604.0058	352244.606
769	253478.8609	352098.3004
770	253369.98	351942.8681
771	253288.3548	351833.5168
772	253176.0312	351672.6323
773	253083.0185	351540.9894
774	252986.2975	351406.3112
775	252909.8208	351294.1303
776	252793.3421	351134.1468
777	252696.2121	351000.5871
778	252602.5435	350865.9952
779	252492.4375	350724.0292
780	252376.7033	350576.8908
781	252272.2197	350445.2546
782	252164.4155	350317.0016
783	252036.6054	350158.6919
784	251936.25	350033.6315
785	251822.2487	349887.0619
786	251721.9496	349767.0351
787	251605.363	349625.3348
788	251525.7518	349511.377
789	251452.2147	349405.6859
790	251386.6076	349313.6005
791	251319.4628	349217.7693
792	251252.1603	349114.8588
793	251143.2318	348946.3028
794	251053.1307	348820.5827
795	250979.3812	348697.0113
796	250910.6347	348595.4698
797	250813.9868	348454.5749
798	250695.7034	348318.7802
799	250595.635	348186.1168
800	250492.7924	348058.351
801	250400.2879	347940.4915
802	250313.2584	347834.6766
803	250214.6188	347719.1162
804	250110.0234	347597.0834
805	249998.2401	347463.3192
806	249917.7258	347354.5473
807	249804.0413	347207.8096
808	249688.3758	347067.9819
809	249589.2635	346944.9297
810	249504.8649	346821.9357
811	249434.502	346717.1975
812	249342.8274	346575.7095
813	249266.6899	346465.7413
814	249168.9538	346344.7116
815	249057.5627	346210.8608
816	248971.5822	346097.0302
817	248882.7554	345977.5238
818	248771.7658	345846.8603
819	248680.8653	345734.5357
820	248568.3379	345587.8541
821	248485.9518	345484.7242
822	248393.2403	345351.3438
823	248297.1266	345226.6906
824	248200.8412	345077.4861
825	248116.5565	344963.7612
826	248035.2616	344835.4605
827	247947.8922	344723.1204
828	247855.4354	344592.8077
829	247762.531	344470.5277
830	247687.6681	344364.2922
831	247578.2005	344236.0832
832	247463.4675	344106.0616
833	247369.4313	343998.99
834	247299.3398	343891.7155
835	247195.7626	343761.2042
836	247112.9902	343628.3808
837	247012.8748	343499.2502
838	246928.0728	343397.8044
839	246823.8752	343246.9696
840	246741.1347	343138.2096
841	246674.8966	343049.0362
842	246585.1693	342932.847
843	246501.414	342828.2987
844	246446.7921	342753.2387
845	246375.277	342647.8792
846	246292.4171	342526.8635
847	246202.7628	342416.6865
848	246120.9798	342303.5709
849	246017.6371	342175.3043
850	245931.7859	342046.5902
851	245851.9763	341949.0564
852	245768.1394	341832.2426
853	245659.8792	341683.7787
854	245565.8163	341543.9073
855	245475.5837	341429.0882
856	245404.9411	341341.4262
857	245332.2511	341231.2104
858	245259.6753	341116.3675
859	245190.229	341002.7089
860	245085.896	340874.2503
861	245008.102	340777.0301
862	244916.8627	340670.7982
863	244832.7069	340557.317
864	244769.3188	340458.1956
865	244698.364	340342.3132
866	244636.1185	340255.8767
867	244554.4207	340138.3287
868	244483.978	340036.466
869	244414.9398	339941.6227
870	244333.3934	339843.5313
871	244236.8525	339723.1686
872	244156.9931	339619.728
873	244077.464	339501.189
874	243996.4972	339393.5404
875	243915.3961	339293.1354
876	243840.3557	339202.9885
877	243771.9526	339105.9912
878	243676.353	338987.0719
879	243610.1008	338885.05
880	243517.1855	338754.2275
881	243446.6075	338661.5579
882	243370.5427	338550.6995
883	243302.4848	338448.5134
884	243234.9573	338359.5014
885	243190.7864	338281.7089
886	243136.4896	338198.4836
887	243043.232	338087.3642
888	242943.5828	337962.6757
889	242885.8235	337883.621
890	242797.9465	337785.3967
891	242725.872	337668.9211
892	242661.4805	337578.5232
893	242565.404	337455.2613
894	242519.0661	337377.049
895	242430.2797	337267.0671
896	242353.3445	337157.5001
897	242269.6216	337040.8729
898	242203.087	336940.0892
899	242114.204	336817.0495
900	242033.1712	336692.6465
901	241975.1673	336592.8592
902	241899.3582	336495.1589
903	241841.8782	336424.64
904	241767.7865	336329.4458
905	241690.2769	336237.5568
906	241619.6003	336142.7478
907	241530.671	336027.8522
908	241454.7725	335932.5629
909	241377.7477	335830.7997
910	241291.7113	335729.5591
911	241223.8354	335629.859
912	241160.8301	335535.7048
913	241098.9578	335450.3761
914	241045.4963	335366.7603
915	240984.5182	335273.1329
916	240917.8605	335183.4748
917	240848.9444	335092.3441
918	240804.2229	335036.3595
919	240719.6888	334942.4711
920	240637.143	334833.6285
921	240567.0094	334725.4243
922	240488.9666	334617.353
923	240422.1457	334527.1756
924	240356.785	334447.5272
925	240277.4407	334329.6889
926	240223.862	334238.7818
927	240154.0914	334139.3774
928	240085.0528	334049.7547
929	240018.0187	333940.5242
930	239946.3871	333819.6241
931	239884.5608	333716.0816
932	239817.6189	333628.9415
933	239748.2174	333515.5094
934	239686.1276	333428.5751
935	239631.6756	333363.4089
936	239567.0866	333271.5871
937	239488.2547	333170.6673
938	239408.7337	333083.1928
939	239357.1054	333015.7598
940	239282.3694	332903.0973
941	239205.5837	332812.7645
942	239137.0391	332727.1196
943	239060.7805	332617.4397
944	238993.0168	332510.7322
945	238919.1266	332423.8131
946	238835.6158	332326.4679
947	238775.5285	332245.1933
948	238716.2211	332155.7529
949	238648.0854	332065.3709
950	238579.4492	331967.052
951	238500.8392	331879.7066
952	238439.95	331796.3064
953	238380.8354	331724.4622
954	238316.0582	331647.5135
955	238248.5671	331554.4832
956	238170.8926	331438.8937
957	238127.1619	331375.5678
958	238081.8268	331290.0464
959	238026.415	331212.9723
960	237954.4796	331125.5919
961	237892.2217	331022.6843
962	237822.6051	330940.1023
963	237769.3597	330867.7888
964	237674.8566	330750.2396
965	237612.3613	330665.996
966	237560.9033	330567.7654
967	237479.8424	330479.468
968	237427.7575	330400.5101
969	237381.6992	330316.0754
970	237340.7101	330241.7895
971	237292.482	330169.8024
972	237226.163	330089.2573
973	237185.1448	330029.4684
974	237129.1929	329955.1505
975	237066.9686	329876.1151
976	237015.4439	329788.97
977	236935.7954	329682.9496
978	236877.6747	329609.85
979	236802.5563	329518.4285
980	236750.4389	329461.394
981	236689.0618	329391.002
982	236624.5267	329317.7739
983	236537.1722	329195.159
984	236475.4365	329115.5266
985	236422.7537	329052.2485
986	236367.962	328974.388
987	236295.6555	328881.9356
988	236264.0103	328825.4675
989	236197.0981	328740.175
990	236146.7709	328677.1337
991	236057.491	328559.2054
992	235976.5477	328469.8499
993	235910.07	328383.8398
994	235849.2734	328302.185
995	235803.7859	328242.3012
996	235740.2781	328170.0375
997	235670.9383	328088.9582
998	235610.1204	328010.8704
999	235563.4391	327938.2342
1000	235494.4077	327847.5633
1001	235435.6692	327771.3793
1002	235395.0352	327695.0661
1003	235361.164	327641.2825
1004	235302.5694	327562.7977
1005	235234.0825	327473.8929
1006	235191.3531	327406.4119
1007	235121.172	327316.0842
1008	235083.6404	327254.41
1009	235016.49	327172.4048
1010	234951.32	327092.1382
