bfe,gov_property_value,gov_land_value,unit_sqm_resi,rooms,street_name,street_number,longitude,latitude,building_year,gov_sqm,year,month,floor,y_true,y_pred
122926,790000.0,62000.0,48.0,2,TychoBrahesAllé,21,12.61210322,55.65562336,1903.0,42.0,2022,2,1.0,2050000,2090843.0853339145
132548,760000.0,105200.0,44.0,2,Jansvej,2,12.61662735,55.6469108,1939.0,42.0,2022,2,3.0,1995000,1831019.834388755
110663,1550000.0,285000.0,76.0,2,RuedLanggaardsVej,25,12.58863944,55.65971946,2005.0,68.0,2022,2,5.0,3895000,3750856.609691729
142833,910000.0,108400.0,57.0,2,Gyldenlakvej,33,12.61301039,55.64485303,1938.0,51.0,2022,2,4.0,2050000,2246616.082687499
134466,2000000.0,281200.0,90.0,3,ØresundParkvej,11,12.62961339,55.66380228,2005.0,80.0,2022,2,4.0,5500000,5390308.069754128
112499,2800000.0,425500.0,117.0,4,IslandsBrygge,77,12.56810613,55.65902618,2008.0,101.0,2022,2,1.0,5925000,6228739.949419599
132268,1100000.0,98500.0,58.0,2,Øresundsvej,46,12.61332775,55.66025436,1906.0,49.0,2022,2,4.0,2300000,2471820.179538993
133663,960000.0,60700.0,57.0,2,Serbiensgade,2,12.61366868,55.66440021,1916.0,49.0,2022,2,2.0,2700000,2526437.742144567
106805,3150000.0,459200.0,107.0,3,Vermlandsgade,36,12.60196927,55.66835872,2013.0,96.0,2022,2,5.0,5350000,5288403.616934517
122895,930000.0,60200.0,50.0,2,TychoBrahesAllé,13,12.6114603,55.65549321,1902.0,42.0,2022,2,5.0,2260000,2285108.1838034387
143796,670000.0,66300.0,40.0,2,Brigadevej,20,12.5999654,55.66277435,1924.0,33.0,2022,2,4.0,1975000,2156118.6067034444
135113,520000.0,54200.0,28.0,1,Sorrentovej,12,12.62173504,55.65832241,1935.0,25.0,2022,2,3.0,1360000,1435351.4914337648
104586,1100000.0,121800.0,69.0,2,VedAmagerport,8,12.59613095,55.66768793,1915.0,61.0,2022,2,1.0,3140000,3379679.556757286
134287,940000.0,103400.0,56.0,2,Bremensgade,27,12.6176427,55.66595946,1939.0,52.0,2022,2,3.0,2710000,2541732.1961949454
132500,760000.0,101200.0,44.0,2,Gerbrandsvej,20,12.61762072,55.64707329,1938.0,42.0,2022,2,3.0,1850000,1874835.2356210724
124595,1250000.0,126700.0,80.0,3,Lombardigade,15,12.61304328,55.65423948,1904.0,72.0,2022,2,1.0,3135000,3433554.8576029935
140730,1700000.0,349700.0,109.0,3,Birketinget,16,12.59702368,55.65676483,1973.0,63.0,2022,2,4.0,3872500,3906811.7180480263
140530,1200000.0,249400.0,60.0,2,RobertJacobsensVej,66,12.57223527,55.61811425,2010.0,48.0,2022,2,7.0,2870000,2761968.234612786
136672,1050000.0,177900.0,66.0,3,Florensvej,11,12.62142953,55.65762242,1940.0,63.0,2022,2,1.0,2700000,2873265.2720052865
103587,1900000.0,125800.0,87.0,4,Snorresgade,2,12.57607611,55.66584496,1913.0,80.0,2022,2,1.0,4900000,4732465.760779119
135788,1950000.0,336900.0,90.0,3,SundbyParkvej,11,12.62911068,55.66272553,2007.0,77.0,2022,2,3.0,5095000,5332374.10313187
140226,900000.0,116900.0,64.0,2,Østerdalsgade,3,12.60272073,55.65510918,1936.0,59.0,2022,2,1.0,2650000,2446257.6807522103
140670,1050000.0,229100.0,70.0,2,Birketinget,12,12.59689377,55.65642731,1973.0,65.0,2022,2,3.0,2525000,2500984.1451907596
140537,2700000.0,633900.0,134.0,4,RobertJacobsensVej,66,12.57223527,55.61811425,2010.0,122.0,2022,2,9.0,5925000,5415349.723104937
409636,1600000.0,172500.0,98.0,3,Hveensvej,4,12.60984969,55.6562271,2012.0,78.0,2022,2,1.0,4070000,3929634.5348662087
131588,900000.0,75900.0,52.0,2,Caprivej,10,12.62200283,55.66072165,1937.0,48.0,2022,2,4.0,2370000,2408089.838974937
124227,1550000.0,136400.0,89.0,4,Lombardigade,5,12.61181396,55.65399328,1903.0,82.0,2022,2,4.0,4375000,4146014.1154584135
136880,1150000.0,215000.0,76.0,2,Øresundsvej,132,12.62615177,55.66054684,1934.0,69.0,2022,2,1.0,3400000,3071763.558833717
108832,1950000.0,204600.0,94.0,3,C.F.MøllersAllé,2,12.57524688,55.63542859,2012.0,83.0,2022,2,7.0,4200000,4204877.316808793
126428,680000.0,37200.0,36.0,1,Lyneborggade,6,12.60932449,55.66520923,1902.0,30.0,2022,2,1.0,1635000,1735946.7445939104
139777,870000.0,132300.0,97.0,4,PederLykkesVej,54,12.60251615,55.65417104,1935.0,153.0,2022,2,1.0,3950000,3944072.486324815
134724,850000.0,106200.0,51.0,2,Sorrentovej,4,12.62079241,55.6585694,1935.0,48.0,2022,2,1.0,2050000,2228667.3812328936
118371,2050000.0,458700.0,100.0,3,EdvardThomsensVej,15,12.5734997,55.63313421,2007.0,95.0,2022,2,5.0,4175000,4289471.900467373
102314,2400000.0,161300.0,105.0,4,Reykjaviksgade,5,12.57878328,55.66754473,1907.0,96.0,2022,2,2.0,5750000,5627811.646733866
102887,2300000.0,447800.0,84.0,3,Weidekampsgade,39,12.58236893,55.66691425,2007.0,73.0,2022,2,4.0,4710000,4760765.8231368
130534,940000.0,60000.0,52.0,1,Amagerbrogade,175,12.61168408,55.65293965,1969.0,43.0,2022,2,5.0,1650000,1985948.2784180494
132744,780000.0,80000.0,85.0,3,TychoBrahesAllé,10,12.61135726,55.65523458,1904.0,78.0,2022,2,6.0,4100000,3416684.8350859303
126968,960000.0,93500.0,57.0,2,Reberbanegade,8,12.60319334,55.66293921,1900.0,50.0,2022,2,1.0,2425000,2448168.7991278674
128717,1400000.0,71300.0,75.0,3,Ålandsgade,11,12.60515015,55.66417552,1901.0,45.0,2022,2,5.0,4550000,3542732.138102161
132001,880000.0,72700.0,51.0,2,Palermovej,1,12.62133272,55.6604226,1937.0,47.0,2022,2,3.0,2425000,2376207.881991571
105943,1750000.0,154900.0,92.0,4,Uplandsgade,28,12.60239752,55.6674331,1924.0,83.0,2022,2,2.0,4695000,4571401.100703362
133152,1850000.0,264000.0,91.0,3,Lyneborggade,25,12.6108942,55.66386206,2006.0,81.0,2022,2,1.0,4150000,4341396.993304346
135441,1100000.0,111400.0,65.0,3,Grækenlandsvej,39,12.61638686,55.65198002,1934.0,59.0,2022,2,4.0,2695000,2819590.160249204
422716,2500000.0,461000.0,115.0,3,RobertJacobsensVej,5,12.57554981,55.62357291,2017.0,103.0,2022,2,10.0,5495000,4120302.121658064
140087,2300000.0,504000.0,109.0,4,RichardMortensensVej,75,12.57123192,55.61732731,2010.0,97.0,2022,2,7.0,4375000,4568772.987811359
114764,1950000.0,383100.0,99.0,3,C.F.MøllersAllé,18,12.57425173,55.63513661,2007.0,84.0,2022,2,8.0,4400000,4602743.917346914
