,bfe_nummer,adresse,offentlig_ejendomsværdi,offentlige_grundværdi,seneste_handelspris,enhedsareal_beboelse,pris_pr_m2,seneste_handelsdato,seneste_handlet_andel,handelsmetode,anvendelse,opførelsesår,tinglyst_areal_ejerlejligheder,longitude,latitude,primær_ejers_adresse,vejnavn,husnr,etage,antal_værelser,year,month,day
1270,140073,"RichardMortensensVej75,1.t3,2300KøbenhavnS",2750000.0,628700.0,5000000,133.0,37593.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2010.0,121.0,12.57123192,55.61732731,"None,2300KøbenhavnS",RichardMortensensVej,75,2.0,5,2021,6,1
1271,132934,"Gerbrandsvej8,1.4,2300KøbenhavnS",760000.0,105100.0,1553000,44.0,35295.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1934.0,42.0,12.61551695,55.64684322,"Gerbrandsvej8,1,-4,2300KøbenhavnS",Gerbrandsvej,8,2.0,2,2021,6,1
1272,136591,"Spaniensgade21,2.th,2300KøbenhavnS",890000.0,79000.0,2495000,53.0,47075.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1941.0,49.0,12.60944946,55.66024533,"Spaniensgade21,2th,2300KøbenhavnS",Spaniensgade,21,3.0,2,2021,6,1
1273,407569,"Rundholtsvej28,8.2,2300KøbenhavnS",3350000.0,364200.0,8325000,124.0,67137.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2014.0,114.0,12.56450561,55.65356295,"Rundholtsvej28,8,-2,2300KøbenhavnS",Rundholtsvej,28,9.0,4,2021,6,1
1274,113830,"EdvardThomsensVej93,6.th,2300KøbenhavnS",1300000.0,227000.0,2795000,65.0,43000.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2005.0,52.0,12.57995649,55.63236011,"EdvardThomsensVej93,6th,2300KøbenhavnS",EdvardThomsensVej,93,7.0,2,2021,6,1
1275,122877,"Amagerbrogade151,1.tv,2300KøbenhavnS",1250000.0,80000.0,2600000,70.0,37142.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1902.0,63.0,12.61026374,55.65530249,"Diamantgangen71,2300KøbenhavnS",Amagerbrogade,151,2.0,3,2021,6,1
1277,416175,"RobertJacobsensVej22,1.mf,2300KøbenhavnS",1950000.0,422800.0,3700000,91.0,40659.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2017.0,84.0,12.57394767,55.62239038,"RobertJacobsensVej22,1mf,2300KøbenhavnS",RobertJacobsensVej,22,2.0,4,2021,6,1
1278,135332,"Lergravsvej56,st.th,2300KøbenhavnS",1650000.0,259400.0,3795000,80.0,47437.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2006.0,73.0,12.6257668,55.66361578,"Lergravsvej56,stth,2300KøbenhavnS",Lergravsvej,56,1.0,2,2021,6,1
1279,134094,"Nordlandsgade8,3.tv,2300KøbenhavnS",1600000.0,112600.0,4400000,87.0,50574.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1911.0,79.0,12.60222985,55.6645082,"Nordlandsgade8,3tv,2300KøbenhavnS",Nordlandsgade,8,4.0,4,2021,6,1
1280,112515,"IslandsBrygge77D,st.tv,2300KøbenhavnS",2750000.0,425500.0,5995000,115.0,52130.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2008.0,101.0,12.56797102,55.65885774,"IslandsBrygge77D,sttv,2300KøbenhavnS",IslandsBrygge,77,1.0,4,2021,6,1
1281,138381,"Norgesgade19,2.,2300KøbenhavnS",2200000.0,199100.0,6815000,139.0,49028.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1917.0,129.0,12.59799863,55.6635554,"Norgesgade19,2,2300KøbenhavnS",Norgesgade,19,3.0,5,2021,6,1
1282,123378,"Ungarnsgade6,1.th,2300KøbenhavnS",920000.0,197000.0,2250000,49.0,45918.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1903.0,42.0,12.61199696,55.66579791,"Koldingevej20,4930Maribo",Ungarnsgade,6,2.0,2,2021,6,1
1283,135897,"Øresundsvej144E,1.th,2300KøbenhavnS",2350000.0,358500.0,5250000,110.0,47727.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2005.0,95.0,12.62844883,55.66092811,"Øresundsvej144E,1th,2300KøbenhavnS",Øresundsvej,144,2.0,3,2021,6,1
1284,136013,"Frankrigsgade19,2.th,2300KøbenhavnS",960000.0,94200.0,2595000,54.0,48055.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1936.0,49.0,12.60801829,55.66196806,"Bechgaardsgade1,stth,2100KøbenhavnØ",Frankrigsgade,19,3.0,2,2021,6,1
1285,107743,"H.C.HansensGade7,4.tv,2300KøbenhavnS",3350000.0,620800.0,6950000,120.0,57916.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2007.0,110.0,12.57320273,55.66323246,"H.C.HansensGade7,4tv,2300KøbenhavnS",H.C.HansensGade,7,5.0,4,2021,6,1
1286,131023,"Parmagade17,4.tv,2300KøbenhavnS",1050000.0,120600.0,2656000,62.0,42838.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1926.0,55.0,12.61352864,55.65299409,"Jordbærdalen25,3700Rønne",Parmagade,17,5.0,2,2021,6,1
1287,113852,"EdvardThomsensVej81,st.th,2300KøbenhavnS",1900000.0,433100.0,3650000,106.0,34433.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2006.0,99.0,12.57880004,55.63257148,"EdvardThomsensVej81,stth,2300KøbenhavnS",EdvardThomsensVej,81,1.0,3,2021,6,1
1288,424425,"Strandlodsvej25G,3.th,2300KøbenhavnS",2350000.0,335300.0,4899000,103.0,47563.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2016.0,93.0,12.62452652,55.66575136,"Strandlodsvej25G,3th,2300KøbenhavnS",Strandlodsvej,25,4.0,3,2021,6,1
1289,135702,"Ålandsgade26,1.th,2300KøbenhavnS",1000000.0,136000.0,2595000,56.0,46339.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1940.0,53.0,12.60698838,55.66209827,"Ålandsgade26,1th,2300KøbenhavnS",Ålandsgade,26,2.0,2,2021,6,1
1290,128685,"Ålandsgade5,4.th,2300KøbenhavnS",1450000.0,66600.0,3795000,78.0,48653.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1901.0,44.0,12.60478015,55.66431921,"Ålandsgade5,4th,2300KøbenhavnS",Ålandsgade,5,5.0,3,2021,6,1
1291,132559,"Gerbrandsvej12,2.4,2300KøbenhavnS",750000.0,104700.0,1805000,43.0,41976.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1939.0,41.0,12.61605073,55.64691541,"NordreFasanvej60,3,-33,2000Frederiksberg",Gerbrandsvej,12,3.0,2,2021,6,1
1292,111003,"AmagerBoulevard114,5.tv,2300KøbenhavnS",2450000.0,320200.0,6195000,112.0,55312.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2018.0,99.0,12.59433987,55.6664562,"AmagerBoulevard114,5tv,2300KøbenhavnS",AmagerBoulevard,114,6.0,4,2021,6,1
1293,421356,"Strandlodsvej23B,6.,2300KøbenhavnS",2450000.0,286700.0,6178000,105.0,58838.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2021.0,92.0,12.62544262,55.665204,"Strandlodsvej23B,6,2300KøbenhavnS",Strandlodsvej,23,7.0,4,2021,6,1
1294,134299,"Bremensgade29,1.th,2300KøbenhavnS",1000000.0,113500.0,2650000,62.0,42741.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1939.0,57.0,12.61749365,55.66590622,"Bremensgade29,1th,2300KøbenhavnS",Bremensgade,29,2.0,2,2021,6,1
1296,415265,"Strandlodsvej25D,11.th,2300KøbenhavnS",3250000.0,451400.0,9725000,138.0,70471.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2016.0,119.0,12.62515809,55.6659422,"Strandlodsvej25D,11th,2300KøbenhavnS",Strandlodsvej,25,12.0,3,2021,6,1
1297,422269,"DorisLessingsVej33,1.mf,2300KøbenhavnS",1050000.0,96200.0,2368000,49.0,48326.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2017.0,43.0,12.57547004,55.63690142,"DorisLessingsVej33,1mf,2300KøbenhavnS",DorisLessingsVej,33,2.0,2,2021,6,1
1298,138898,"Hyacintgården11,st.4,2300KøbenhavnS",1000000.0,174500.0,2995000,72.0,41597.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1968.0,69.0,12.61213111,55.64878505,"Hyacintgården11,st,-4,2300KøbenhavnS",Hyacintgården,11,1.0,3,2021,6,1
1299,133631,"Serbiensgade2,st.tv,2300KøbenhavnS",870000.0,60700.0,2610000,57.0,45789.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1916.0,49.0,12.61366868,55.66440021,"Serbiensgade2,sttv,2300KøbenhavnS",Serbiensgade,2,1.0,2,2021,6,1
1300,101065,"ElseAlfeltsVej10H,1.th,2300KøbenhavnS",1350000.0,467200.0,4649000,126.0,36896.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2020.0,117.0,12.56973214,55.6231205,"ElseAlfeltsVej10H,1th,2300KøbenhavnS",ElseAlfeltsVej,10,2.0,4,2021,6,1
1301,132460,"Jansvej1,st.1,2300KøbenhavnS",690000.0,106600.0,1755000,44.0,39886.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1938.0,42.0,12.61707276,55.6469749,"HannemannsAllé4P,2300KøbenhavnS",Jansvej,1,1.0,2,2021,6,1
1302,143385,"Hallandsgade11,2.tv,2300KøbenhavnS",1300000.0,144300.0,4000000,78.0,51282.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1886.0,73.0,12.59944623,55.66336517,"Hallandsgade11,2tv,2300KøbenhavnS",Hallandsgade,11,3.0,3,2021,6,1
1303,131664,"Lyongade17A,2.1,2300KøbenhavnS",1900000.0,208600.0,3995000,99.0,40353.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1971.0,84.0,12.60901158,55.66061512,"Lyongade17A,2,-1,2300KøbenhavnS",Lyongade,17,3.0,2,2021,6,1
1304,122860,"Kirkegårdsvej3,5.,2300KøbenhavnS",1650000.0,126800.0,4880000,90.0,54222.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1898.0,82.0,12.61092724,55.65949226,"Kirkegårdsvej3,5,2300KøbenhavnS",Kirkegårdsvej,3,6.0,4,2021,6,1
1306,140200,"Englandsvej38B,3.th,2300KøbenhavnS",960000.0,82700.0,2360000,61.0,38688.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1936.0,55.0,12.60320381,55.654771,"Englandsvej38B,3th,2300KøbenhavnS",Englandsvej,38,4.0,2,2021,6,1
1308,135334,"Lergravsvej56,1.th,2300KøbenhavnS",1700000.0,259400.0,3780000,80.0,47250.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2006.0,73.0,12.6257668,55.66361578,"Lergravsvej56,1th,2300KøbenhavnS",Lergravsvej,56,2.0,2,2021,6,1
1309,144227,"Birketinget2B,1.212,2300KøbenhavnS",720000.0,123900.0,1650000,45.0,36666.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1970.0,40.0,12.60022743,55.6561354,"Birketinget2B,1,-212,2300KøbenhavnS",Birketinget,2,2.0,1,2021,6,1
1310,119186,"EdvardThomsensVej63,2.1,2300KøbenhavnS",2100000.0,455800.0,3450000,108.0,31944.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2007.0,83.0,12.57744928,55.63276459,"EdvardThomsensVej63,2,-1,2300KøbenhavnS",EdvardThomsensVej,63,3.0,3,2021,6,1
1313,109671,"IslandsBrygge34B,1.th,2300KøbenhavnS",4800000.0,596400.0,9550000,148.0,64527.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2004.0,138.0,12.56765757,55.65964241,"IslandsBrygge34B,1th,2300KøbenhavnS",IslandsBrygge,34,2.0,4,2021,6,1
1314,114267,"TomKristensensVej30,4.th,2300KøbenhavnS",2050000.0,503000.0,4925000,104.0,47355.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2006.0,94.0,12.58718563,55.66110558,"TomKristensensVej30,4th,2300KøbenhavnS",TomKristensensVej,30,5.0,3,2021,6,1
1315,101467,"ErikEriksensGade8,4.th,2300KøbenhavnS",2500000.0,452900.0,5195000,102.0,50931.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2005.0,92.0,12.57198167,55.66132024,"ErikEriksensGade8,4th,2300KøbenhavnS",ErikEriksensGade,8,5.0,3,2021,6,1
1316,143314,"Sundholmsvej109,4.tv,2300KøbenhavnS",960000.0,60700.0,2395000,60.0,39916.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1939.0,54.0,12.60508929,55.65746646,"Sundholmsvej109,4tv,2300KøbenhavnS",Sundholmsvej,109,5.0,2,2021,6,1
1317,415777,"RobertJacobsensVej8,2.mf,2300KøbenhavnS",1950000.0,446600.0,3500000,91.0,38461.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2017.0,84.0,12.57467044,55.62360477,"RobertJacobsensVej8,2mf,2300KøbenhavnS",RobertJacobsensVej,8,3.0,4,2021,6,1
1318,140139,"RichardMortensensVej79,5.4,2300KøbenhavnS",2400000.0,530000.0,4450000,117.0,38034.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2010.0,105.0,12.57073725,55.61701065,"RichardMortensensV79,5,-4,2300KøbenhavnS",RichardMortensensVej,79,6.0,3,2021,6,1
1319,143795,"Brigadevej20A,2.th,2300KøbenhavnS",830000.0,88400.0,2398000,51.0,47019.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1924.0,44.0,12.5999654,55.66277435,"Brigadevej20A,2th,2300KøbenhavnS",Brigadevej,20,3.0,3,2021,6,1
1320,110928,"Sundholmsvej23,1.th,2300KøbenhavnS",1250000.0,180400.0,2595000,60.0,43250.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1914.0,53.0,12.59600258,55.66248648,"Sundholmsvej23,1th,2300KøbenhavnS",Sundholmsvej,23,2.0,2,2021,6,1
1322,113808,"EdvardThomsensVej91,3.tv,2300KøbenhavnS",1550000.0,301900.0,3225000,81.0,39814.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2005.0,69.0,12.57998321,55.63244745,"EdvardThomsensVej91,3tv,2300KøbenhavnS",EdvardThomsensVej,91,4.0,3,2021,6,1
1323,133467,"Reberbanegade15,2.th,2300KøbenhavnS",920000.0,142600.0,2445000,50.0,48900.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1940.0,44.0,12.60530491,55.66226558,"Reberbanegade15,2th,2300KøbenhavnS",Reberbanegade,15,3.0,2,2021,6,1
1324,138422,"PederLykkesVej48,st.tv,2300KøbenhavnS",1050000.0,214400.0,2680000,76.0,35263.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1940.0,70.0,12.60329276,55.65396208,"PederLykkesVej48,sttv,2300KøbenhavnS",PederLykkesVej,48,1.0,3,2021,6,1
1325,138714,"RobertJacobsensVej74,5.1,2300KøbenhavnS",2100000.0,488400.0,5175000,106.0,48820.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2010.0,94.0,12.57194339,55.61742482,"RobertJacobsensVej74,5,-1,2300KøbenhavnS",RobertJacobsensVej,74,6.0,3,2021,6,1
1326,123792,"Rumæniensgade4,1.th,2300KøbenhavnS",1100000.0,113100.0,2569000,65.0,39523.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1930.0,57.0,12.61385811,55.65991681,"Rumæniensgade4,1th,2300KøbenhavnS",Rumæniensgade,4,2.0,2,2021,6,1
1327,132158,"Syriensvej6,1.th,2300KøbenhavnS",1050000.0,121100.0,2795000,60.0,46583.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1952.0,55.0,12.62161032,55.65104367,"Syriensvej6,1th,2300KøbenhavnS",Syriensvej,6,2.0,3,2021,6,1
1328,107254,"Markmandsgade27,5.th,2300KøbenhavnS",2500000.0,356400.0,4495000,88.0,51079.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2014.0,77.0,12.60056543,55.66843853,"Markmandsgade27,5th,2300KøbenhavnS",Markmandsgade,27,6.0,3,2021,6,1
1329,112421,"JensOttoKragsGade13,6.2,2300KøbenhavnS",1700000.0,342000.0,4495000,82.0,54817.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2006.0,69.0,12.56951664,55.65905418,"Birkestien6,4873Væggerløse",JensOttoKragsGade,13,7.0,2,2021,6,1
1330,139718,"Dalføret13,2.tv,2300KøbenhavnS",960000.0,80000.0,2600000,61.0,42622.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1935.0,55.0,12.6021074,55.65442332,"Jagtvej193,sttv,2100KøbenhavnØ",Dalføret,13,3.0,2,2021,6,1
1331,127779,"Bremensgade30,2.th,2300KøbenhavnS",530000.0,153900.0,3195000,68.0,46985.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1935.0,59.0,12.61686397,55.66481726,"Bremensgade30,2th,2300KøbenhavnS",Bremensgade,30,3.0,2,2021,6,1
1332,101785,"Gunløgsgade20,st.3,2300KøbenhavnS",600000.0,106900.0,1900000,44.0,43181.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1970.0,38.0,12.57870168,55.66521184,"Artillerivej92B,1th,2300KøbenhavnS",Gunløgsgade,20,1.0,1,2021,6,1
1333,131615,"Caprivej4,3.tv,2300KøbenhavnS",440000.0,74300.0,2200000,52.0,42307.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1937.0,48.0,12.62133777,55.66069059,"Caprivej4,3tv,2300KøbenhavnS",Caprivej,4,4.0,2,2021,6,1
1334,133240,"AmagerStrandvej142D,6.tv,2300KøbenhavnS",2950000.0,388800.0,11511000,127.0,90637.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2015.0,116.0,12.63452949,55.65844457,"AmagerStrandvej142D,6tv,2300KøbenhavnS",AmagerStrandvej,142,7.0,4,2021,6,1
1335,132882,"Messinavej5,2.tv,2300KøbenhavnS",1300000.0,116400.0,3795000,77.0,49285.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1932.0,70.0,12.62092699,55.66093418,"Messinavej5,2tv,2300KøbenhavnS",Messinavej,5,3.0,3,2021,6,1
1336,120632,"Digevej38,st.tv,2300KøbenhavnS",1600000.0,336900.0,3562000,87.0,40942.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2006.0,74.0,12.58716851,55.64765668,"Digevej38,sttv,2300KøbenhavnS",Digevej,38,1.0,3,2021,6,1
1337,135548,"Frankrigshusene14,1.tv,2300KøbenhavnS",500000.0,102500.0,2450000,56.0,43750.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1936.0,51.0,12.60789204,55.66270426,"Solskiftevej8,2300KøbenhavnS",Frankrigshusene,14,2.0,2,2021,6,1
1338,111982,"IslandsBrygge75A,1.tv,2300KøbenhavnS",2750000.0,423100.0,6125000,111.0,55180.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2005.0,95.0,12.56917668,55.6600609,"IslandsBrygge75A,1tv,2300KøbenhavnS",IslandsBrygge,75,2.0,3,2021,6,1
1339,415761,"RobertJacobsensVej8,4.th,2300KøbenhavnS",2400000.0,553000.0,4200000,111.0,37837.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2017.0,104.0,12.57467044,55.62360477,"RobertJacobsensVej8,4th,2300KøbenhavnS",RobertJacobsensVej,8,5.0,4,2021,6,1
1340,134262,"Bremensgade28,3.tv,2300KøbenhavnS",930000.0,154700.0,2895000,57.0,50789.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1965.0,54.0,12.61677462,55.66493149,"Kildevej2A,4653Karise",Bremensgade,28,4.0,3,2021,6,1
1341,130345,"Sorrentovej14,1.mf,2300KøbenhavnS",480000.0,63900.0,1330000,26.0,51153.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1940.0,23.0,12.62221773,55.65821176,"Sorrentovej14,1mf,2300KøbenhavnS",Sorrentovej,14,2.0,1,2021,6,1
1342,422273,"DorisLessingsVej33,2.th,2300KøbenhavnS",2250000.0,241600.0,4300000,107.0,40186.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2017.0,98.0,12.57547004,55.63690142,"DorisLessingsVej33,2th,2300KøbenhavnS",DorisLessingsVej,33,3.0,5,2021,6,1
1343,135586,"Frankrigshusene8,3.th,2300KøbenhavnS",1000000.0,102500.0,2495000,56.0,44553.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1936.0,51.0,12.60839758,55.66261978,"Maglehøj142,3520Farum",Frankrigshusene,8,4.0,2,2021,6,1
1344,119170,"EdvardThomsensVej67,st.,2300KøbenhavnS",2100000.0,505200.0,3845000,117.0,32863.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2007.0,92.0,12.57780934,55.63271461,"EdvardThomsensVej67,st,2300KøbenhavnS",EdvardThomsensVej,67,1.0,4,2021,6,1
1345,138340,"UlrikBirchsAllé58,2.th,2300KøbenhavnS",850000.0,68700.0,2100000,53.0,39622.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1935.0,48.0,12.60291504,55.65333584,"Hf.Kongelund46,2300KøbenhavnS",UlrikBirchsAllé,58,3.0,2,2021,6,1
1346,126057,"Drogdensgade16,1.tv,2300KøbenhavnS",1200000.0,132800.0,2950000,66.0,44696.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1901.0,59.0,12.60813128,55.65869248,"Drogdensgade16,1tv,2300KøbenhavnS",Drogdensgade,16,2.0,2,2021,6,1
1347,124672,"Tyrolsgade19,1.th,2300KøbenhavnS",910000.0,90800.0,2140000,48.0,44583.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1902.0,42.0,12.60922747,55.65971775,"Tyrolsgade19,1th,2300KøbenhavnS",Tyrolsgade,19,2.0,2,2021,6,1
1348,108396,"C.F.MøllersAllé40,10.tv,2300KøbenhavnS",1900000.0,366900.0,4311000,93.0,46354.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2007.0,82.0,12.57720817,55.63476171,"Vestergade68,4000Roskilde",C.F.MøllersAllé,40,11.0,2,2021,6,1
1352,134074,"PragsBoulevard8,5.,2300KøbenhavnS",2150000.0,121900.0,5900000,113.0,52212.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1912.0,106.0,12.60188625,55.66485603,"PragsBoulevard8,5,2300KøbenhavnS",PragsBoulevard,8,6.0,4,2021,6,1
1353,129216,"Saltholmsvej9,3.tv,2300KøbenhavnS",840000.0,90700.0,2010000,44.0,45681.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1904.0,37.0,12.60925091,55.65931269,"MartensensAlle5,3tv,1828FrederiksbergC",Saltholmsvej,9,4.0,2,2021,6,1
1354,101346,"Amagerbrogade28,4.tv,2300KøbenhavnS",2550000.0,167200.0,6650000,149.0,44630.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1918.0,135.0,12.59945269,55.66518557,"Amagerbrogade28,4tv,2300KøbenhavnS",Amagerbrogade,28,5.0,5,2021,6,1
1355,136947,"Greisvej17,2.th,2300KøbenhavnS",1000000.0,154900.0,1800000,58.0,31034.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1935.0,52.0,12.61798773,55.64510454,"Greisvej17,2th,2300KøbenhavnS",Greisvej,17,3.0,2,2021,6,1
1356,415743,"RobertJacobsensVej10Y,6.mf,2300KøbenhavnS",2000000.0,417600.0,4095000,91.0,45000.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2017.0,84.0,12.57368576,55.6239251,"RobertJacobsensVej10Y,6mf,2300KøbenhavnS",RobertJacobsensVej,10,7.0,4,2021,6,1
1357,137023,"Grækenlandsvej108,st.tv,2300KøbenhavnS",900000.0,161000.0,2035000,57.0,35701.0,2021-06-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1935.0,52.0,12.6197226,55.6458518,"Grækenlandsvej108,sttv,2300KøbenhavnS",Grækenlandsvej,108,1.0,2,2021,6,1
