,bfe_nummer,adresse,offentlig_ejendomsværdi,offentlige_grundværdi,seneste_handelspris,enhedsareal_beboelse,pris_pr_m2,seneste_handelsdato,seneste_handlet_andel,handelsmetode,anvendelse,opførelsesår,tinglyst_areal_ejerlejligheder,longitude,latitude,primær_ejers_adresse,vejnavn,husnr,etage,antal_værelser,year,month,day
119,104535,"Hollænderdybet20,1.tv,2300KøbenhavnS",1650000.0,148200.0,5150000,99.0,52020.0,2022-03-06,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1917.0,93.0,12.59707725,55.66447327,"Hollænderdybet20,1tv,2300KøbenhavnS",Hollænderdybet,20,2.0,4,2022,3,6
120,139263,"Hyacintgården13,1.1,2300KøbenhavnS",1100000.0,174500.0,2807500,72.0,38993.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1968.0,69.0,12.61206358,55.6489426,"Hyacintgården13,1,-1,2300KøbenhavnS",Hyacintgården,13,2.0,3,2022,3,1
121,132466,"Jansvej3,st.3,2300KøbenhavnS",780000.0,120300.0,1795000,50.0,35900.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1938.0,48.0,12.61712492,55.64681645,"Jansvej3,st,-3,2300KøbenhavnS",Jansvej,3,1.0,2,2022,3,1
123,140069,"RichardMortensensVej73,7.p5,2300KøbenhavnS",2100000.0,488400.0,4290000,106.0,40471.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2010.0,94.0,12.57140911,55.61744812,"None,2300KøbenhavnS",RichardMortensensVej,73,8.0,3,2022,3,1
124,104163,"Thorshavnsgade17,4.tv,2300KøbenhavnS",3950000.0,694100.0,8600000,143.0,60139.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2006.0,130.0,12.57997298,55.66788792,"Thorshavnsgade17,4tv,2300KøbenhavnS",Thorshavnsgade,17,5.0,4,2022,3,1
126,132538,"Jansvej2,st.3,2300KøbenhavnS",780000.0,118700.0,1925000,50.0,38500.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1939.0,48.0,12.61662735,55.6469108,"Parmagade13,stth,2300KøbenhavnS",Jansvej,2,1.0,2,2022,3,1
127,125498,"Amagerbrogade263B,2.tv,2300KøbenhavnS",1600000.0,230800.0,3395000,93.0,36505.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1938.0,88.0,12.6155371,55.64431219,"Amagerbrogade263B,2tv,2300KøbenhavnS",Amagerbrogade,263,3.0,4,2022,3,1
128,134845,"Frankrigshusene11,st.tv,2300KøbenhavnS",1200000.0,125400.0,3155000,74.0,42635.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1940.0,69.0,12.60732975,55.6625094,"Frankrigshusene11,sttv,2300KøbenhavnS",Frankrigshusene,11,1.0,3,2022,3,1
129,134981,"Holmbladsgade105,st.th,2300KøbenhavnS",890000.0,69900.0,2795000,53.0,52735.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1914.0,45.0,12.61584705,55.66712726,"Holmbladsgade105,stth,2300KøbenhavnS",Holmbladsgade,105,1.0,2,2022,3,1
131,137927,"Sofienhøjvej1,3.314,2300KøbenhavnS",710000.0,80600.0,1900000,44.0,43181.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1975.0,36.0,12.61364441,55.64538347,"Sofienhøjvej1,3,-314,2300KøbenhavnS",Sofienhøjvej,1,4.0,2,2022,3,1
